"Designator","Footprint","Quantity","Value","LCSC Part #"
"C101, C102, C103",805,3,"47u","C16780"
"C104","C_1005_(0402)",1,"100n","C1525"
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116",603,16,"0603_LED_Red","C2286"
"J101","PinHeader_2x06_P2.54mm_Horizontal_less_silk",1,"Conn_02x06_Odd_Even","C2911299"
"J102","PinSocket_1x04_P2.54mm_Vertical",1,"Conn_01x04_f","C2718488"
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117","R_1005_(0402)",17,"2k","C4109"
"SW101","SW_SPST_PTS645",1,"Switch","C5127964"
"J201","PinSocket_1x05_P2.54mm_Vertical",1,"Conn_01x05_f","C2897368"
"J202, J203","PinSocket_1x10_P2.54mm_Vertical",2,"Conn_01x10_f","C2935981"
"J204, J205","PinSocket_1x12_P2.54mm_Vertical",2,"Conn_01x12_f","C2905419"
